file,source_pr,source_commit,purpose,still_needed,already_in_main,integration_package
backend/package.json,792,c82e449362177a4c9d30ae308558464a2ab934f4,"backend/shared contract dependency, not UI ownership",true,true,E4
backend/src/modules/business-insights/evaluations-chart-series.shared.spec.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,reproducible test/fixture intent,true,false,E4
backend/src/modules/business-insights/evaluations-driver-analysis.service.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,"backend/shared contract dependency, not UI ownership",true,false,E4
backend/src/modules/business-insights/evaluations-metric-state.shared.spec.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,reproducible test/fixture intent,true,false,E4
backend/src/modules/business-insights/evaluations-strength-detection.service.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,"backend/shared contract dependency, not UI ownership",true,false,E4
backend/src/modules/business-insights/evaluations-weakness-detection.service.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,"backend/shared contract dependency, not UI ownership",true,false,E4
docs/frontend/evaluations-metric-state-ux.md,792,c82e449362177a4c9d30ae308558464a2ab934f4,historical UI documentation,false,false,E4
frontend/src/master/components/ArchitekturView.tsx,792,c82e449362177a4c9d30ae308558464a2ab934f4,historical architecture/changelog bookkeeping,false,true,E4
frontend/src/master/components/ChangesView.tsx,792,c82e449362177a4c9d30ae308558464a2ab934f4,historical architecture/changelog bookkeeping,false,true,E4
frontend/src/rental/components/FinancialInsightsView.tsx,792,c82e449362177a4c9d30ae308558464a2ab934f4,Metric State UX UI implementation,true,true,E4
frontend/src/rental/components/evaluations/EvaluationsMetricKpiCard.tsx,792,c82e449362177a4c9d30ae308558464a2ab934f4,Metric State UX UI implementation,true,false,E4
frontend/src/rental/components/evaluations/EvaluationsMetricStateBadge.tsx,792,c82e449362177a4c9d30ae308558464a2ab934f4,Metric State UX UI implementation,true,false,E4
frontend/src/rental/components/evaluations/EvaluationsMetricValue.test.tsx,792,c82e449362177a4c9d30ae308558464a2ab934f4,reproducible test/fixture intent,true,false,E4
frontend/src/rental/components/evaluations/EvaluationsMetricValue.tsx,792,c82e449362177a4c9d30ae308558464a2ab934f4,Metric State UX UI implementation,true,false,E4
frontend/src/rental/components/insights/InsightsCockpit.tsx,792,c82e449362177a4c9d30ae308558464a2ab934f4,Metric State UX UI implementation,true,true,E4
frontend/src/rental/hooks/useEvaluationsAnalyticsSummary.test.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,reproducible test/fixture intent,true,false,E4
frontend/src/rental/hooks/useEvaluationsAnalyticsSummary.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,Metric State UX UI implementation,true,false,E4
frontend/vitest.config.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,Metric State UX UI implementation,true,true,E4
shared/evaluations-insights/evaluations-chart-series.spec.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,reproducible test/fixture intent,true,false,E4
shared/evaluations-insights/evaluations-chart-series.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,"backend/shared contract dependency, not UI ownership",true,false,E4
shared/evaluations-insights/evaluations-data-quality.contract.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,"backend/shared contract dependency, not UI ownership",true,false,E4
shared/evaluations-insights/evaluations-lineage.contract.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,"backend/shared contract dependency, not UI ownership",true,false,E4
shared/evaluations-insights/evaluations-metric-state.contract.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,"backend/shared contract dependency, not UI ownership",true,false,E4
shared/evaluations-insights/evaluations-metric-state.spec.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,reproducible test/fixture intent,true,false,E4
shared/evaluations-insights/evaluations-metric-state.ts,792,c82e449362177a4c9d30ae308558464a2ab934f4,"backend/shared contract dependency, not UI ownership",true,false,E4
backend/package.json,795,2759f22353106ac3c3804fce0e95f8e1aef32b25,"backend/shared contract dependency, not UI ownership",true,true,E5
backend/package.json,798,7f6dde4c8c502dc238167d62c508ac9145e91c5c,"backend/shared contract dependency, not UI ownership",true,true,E5
backend/package.json,796,cb2ced964d28bbbec11f1564e7081376cc12710d,"backend/shared contract dependency, not UI ownership",true,true,E5
