providerField,acquisitionSurface,observationCount,uniqueProviderTimestamps,positiveDeltaTSamples,p50_dt_s,p90_dt_s,p95_dt_s,p99_dt_s,max_gap_s,outOfOrderCount,outOfOrderRate,providerSampleAge_p50_ms,httpRequest_p50_ms,dynamicsClassification
powertrainCombustionEngineSpeed,LATEST_LIVE,351,104,103,15,23,27,127,153,0,0.000000,17711,254,DYNAMICALLY_INFORMATIVE
powertrainCombustionEngineSpeed,HF_HISTORICAL,71,71,70,13.489,42.189,84.024,249.647,249.647,0,0.000000,6377,225,DYNAMICALLY_INFORMATIVE
speed,LATEST_LIVE,351,104,103,15,23,27,127,153,0,0.000000,17711,254,DYNAMICALLY_INFORMATIVE
speed,HF_HISTORICAL,71,71,70,13.489,42.189,84.024,249.647,249.647,0,0.000000,6377,225,DYNAMICALLY_INFORMATIVE
obdThrottlePosition,LATEST_LIVE,351,104,103,15,23,27,127,153,0,0.000000,17711,254,DYNAMICALLY_INFORMATIVE
obdThrottlePosition,HF_HISTORICAL,71,71,70,13.489,42.189,84.024,249.647,249.647,0,0.000000,6377,225,DYNAMICALLY_INFORMATIVE
powertrainCombustionEngineTPS,LATEST_LIVE,351,103,102,15,23,27,127,153,0,0.000000,18057,254,DYNAMICALLY_INFORMATIVE
powertrainCombustionEngineTPS,HF_HISTORICAL,71,71,70,13.489,42.189,84.024,249.647,249.647,0,0.000000,6377,225,DYNAMICALLY_INFORMATIVE
obdEngineLoad,LATEST_LIVE,351,104,103,15,23,27,127,153,0,0.000000,17711,254,DYNAMICALLY_INFORMATIVE
obdEngineLoad,HF_HISTORICAL,71,71,70,13.489,42.189,84.024,249.647,249.647,0,0.000000,6377,225,DYNAMICALLY_INFORMATIVE
obdIntakeTemp,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,STATIC_OR_CONTEXTUAL
obdLongTermFuelTrim2,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,DYNAMICALLY_INFORMATIVE
isIgnitionOn,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,DYNAMICALLY_INFORMATIVE
obdMAP,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,STATIC_OR_CONTEXTUAL
obdFuelTypeName,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,NON_NUMERIC_CONTEXT
powertrainFuelSystemAbsoluteLevel,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,DYNAMICALLY_INFORMATIVE
lowVoltageBatteryCurrentVoltage,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,DYNAMICALLY_INFORMATIVE
powertrainFuelSystemRelativeLevel,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,DYNAMICALLY_INFORMATIVE
powertrainCombustionEngineECT,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,DYNAMICALLY_INFORMATIVE
obdOilTemperature,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,STATIC_OR_CONTEXTUAL
currentLocationAltitude,LATEST_SLOW,59,45,44,35,46,107,153,153,0,0.000000,13988,227,DYNAMICALLY_INFORMATIVE
obdBarometricPressure,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,DYNAMICALLY_INFORMATIVE
obdIsPluggedIn,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,STATIC_OR_CONTEXTUAL
currentLocationHeading,LATEST_SLOW,59,45,44,35,46,107,153,153,0,0.000000,13988,227,DYNAMICALLY_INFORMATIVE
powertrainType,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,NON_NUMERIC_CONTEXT
powertrainTransmissionTravelledDistance,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,DYNAMICALLY_INFORMATIVE
obdMaxMAF,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,STATIC_OR_CONTEXTUAL
obdLongTermFuelTrim1,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,DYNAMICALLY_INFORMATIVE
obdStatusDTCCount,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,STATIC_OR_CONTEXTUAL
obdDistanceWithMIL,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,STATIC_OR_CONTEXTUAL
exteriorAirTemperature,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,DYNAMICALLY_INFORMATIVE
currentLocationCoordinates,LATEST_SLOW,59,45,44,35,46,107,153,153,0,0.000000,13988,227,NON_NUMERIC_CONTEXT
obdFuelRailPressure,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,STATIC_OR_CONTEXTUAL
obdRunTime,LATEST_SLOW,59,44,43,36,47,107,153,153,0,0.000000,16881,227,DYNAMICALLY_INFORMATIVE
