domain,file,classOrFunction,responsibility,input,output,writesData,trigger,transactionBoundary,idempotencyMechanism,consumers,testCoverage,preliminaryRisk
config,backend/src/modules/vehicle-intelligence/brakes/brake-health.config.ts,BRAKE_HEALTH_CONFIG,Central thresholds wear rates confidence calibration params,Constants,N/A,false,N/A,N/A,Wear model Health service status,indirect via specs,Low
config,backend/src/modules/vehicle-intelligence/brakes/brake-health.config.ts,MODEL_VERSION,Version tag for wear model,Constant,string,false,N/A,N/A,Health detail,config integrity test,Low
taxonomy,backend/src/modules/vehicle-intelligence/brakes/brake-status.ts,aggregateBrakeCondition,Combine axle signals to overall GOOD/WATCH/WARNING/CRITICAL,Axle conditions,BrakeCondition,false,Read path,Pure function,Health RentalHealth Insights,Yes brake-status.spec.ts,Low
taxonomy,backend/src/modules/vehicle-intelligence/brakes/brake-status.ts,classifyPadThicknessStatus,Map pad mm to status band,Thickness mm threshold,Status enum,false,Read path,Pure function,Canonical read model,Yes brake-status.spec.ts,Low
taxonomy,backend/src/modules/vehicle-intelligence/brakes/brake-status.ts,classifyConfidenceLevel,Map confidence score to label,Score 0-1,Label,false,Read path,Pure function,Summary detail,Yes brake-status.spec.ts,Low
taxonomy,backend/src/modules/vehicle-intelligence/brakes/brake-status.ts,harshBrakeWearMultiplier,Map harsh events per 100km to wear multiplier,Event rate,Multiplier,false,Documented only,Pure function,None wired to recalc,Yes brake-status.spec.ts,High
taxonomy,backend/src/modules/vehicle-intelligence/brakes/brake-status.ts,buildRemainingKmRange,Remaining km band from estimate and confidence,Remaining km confidence,Range,false,Read path,Pure function,Summary,Yes brake-status.spec.ts,Low
registration,backend/src/modules/vehicle-intelligence/brakes/register-brake-baseline.ts,shouldInitializeBrakesFromRegistration,Gate registration brake init,RegistrationBrakeManualSpec,boolean,false,Registration,N/A,VehiclesService,Yes register-brake-baseline.spec.ts,Medium
registration,backend/src/modules/vehicle-intelligence/brakes/register-brake-baseline.ts,applyNewBrakeDefaults,Apply NEW condition 10mm pad defaults,Spec condition,Normalized spec,false,Registration,N/A,Lifecycle init,Yes register-brake-baseline.spec.ts,Low
registration,backend/src/modules/vehicle-intelligence/brakes/register-brake-baseline.ts,resolveRegistrationBrakeOdometerKm,Resolve odometer for anchor,Brakes reg state odometer,km or null,false,Registration,N/A,Lifecycle init,Yes register-brake-baseline.spec.ts,Medium
